dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology
value-equality,mall-swarm::::mall-auth/pom.xml::::project::::parent_mall-swarm::::artifactId::::mall-swarm <-> mall-swarm::::mall-monitor/pom.xml::::project::::parent_mall-swarm::::artifactId::::mall-swarm,mall-swarm,project.parent_mall-swarm.artifactId,mall-swarm,ConfigType.NAME,mall-auth/pom.xml,maven,project.parent_mall-swarm.artifactId,mall-swarm,ConfigType.NAME,mall-monitor/pom.xml,maven
value-equality,mall-swarm::::mall-admin/pom.xml::::project::::parent_mall-swarm::::artifactId::::mall-swarm <-> mall-swarm::::mall-demo/pom.xml::::project::::parent_mall-swarm::::artifactId::::mall-swarm,mall-swarm,project.parent_mall-swarm.artifactId,mall-swarm,ConfigType.NAME,mall-admin/pom.xml,maven,project.parent_mall-swarm.artifactId,mall-swarm,ConfigType.NAME,mall-demo/pom.xml,maven
value-equality,mall-swarm::::mall-auth/pom.xml::::project::::parent_mall-swarm::::version::::version:1.0-SNAPSHOT <-> mall-swarm::::mall-monitor/pom.xml::::project::::version::::version:1.0-SNAPSHOT,mall-swarm,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-auth/pom.xml,maven,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-monitor/pom.xml,maven
value-equality,mall-swarm::::mall-portal/pom.xml::::project::::artifactId::::mall-portal <-> mall-swarm::::pom.xml::::project::::modules::::module::::mall-portal,mall-swarm,project.artifactId,mall-portal,ConfigType.NAME,mall-portal/pom.xml,maven,project.modules.module,mall-portal,ConfigType.NAME,pom.xml,maven
value-equality,mall-swarm::::mall-mbg/pom.xml::::project::::parent_mall-swarm::::groupId::::com.macro.mall <-> mall-swarm::::mall-search/pom.xml::::project::::parent_mall-swarm::::groupId::::com.macro.mall,mall-swarm,project.parent_mall-swarm.groupId,com.macro.mall,ConfigType.NAME,mall-mbg/pom.xml,maven,project.parent_mall-swarm.groupId,com.macro.mall,ConfigType.NAME,mall-search/pom.xml,maven
value-equality,mall-swarm::::mall-admin/pom.xml::::project::::groupId::::com.macro.mall <-> mall-swarm::::mall-search/pom.xml::::project::::parent_mall-swarm::::groupId::::com.macro.mall,mall-swarm,project.groupId,com.macro.mall,ConfigType.NAME,mall-admin/pom.xml,maven,project.parent_mall-swarm.groupId,com.macro.mall,ConfigType.NAME,mall-search/pom.xml,maven
value-equality,mall-swarm::::mall-admin/src/main/resources/application.yml::::spring.mvc.pathmatch.matching-strategy::::ant_path_matcher <-> mall-swarm::::mall-portal/src/main/resources/application.yml::::spring.mvc.pathmatch.matching-strategy::::ant_path_matcher,mall-swarm,spring.mvc.pathmatch.matching-strategy,ant_path_matcher,ConfigType.PATH,mall-admin/src/main/resources/application.yml,spring,spring.mvc.pathmatch.matching-strategy,ant_path_matcher,ConfigType.PATH,mall-portal/src/main/resources/application.yml,spring
value-equality,"mall-swarm::::document/docker/docker-compose-app.yml::::services::::mall-admin::::environment::::TZ::::""Asia/Shanghai"" <-> mall-swarm::::document/docker/docker-compose-app.yml::::services::::mall-portal::::environment::::TZ::::""Asia/Shanghai""",mall-swarm,services.mall-admin.environment.TZ,"""Asia/Shanghai""",ConfigType.ENVIRONMENT,document/docker/docker-compose-app.yml,docker-compose,services.mall-portal.environment.TZ,"""Asia/Shanghai""",ConfigType.ENVIRONMENT,document/docker/docker-compose-app.yml,docker-compose
value-equality,mall-swarm::::mall-mbg/pom.xml::::project::::artifactId::::mall-mbg <-> mall-swarm::::mall-portal/pom.xml::::project::::dependencies::::dependency_mall-mbg::::artifactId::::mall-mbg,mall-swarm,project.artifactId,mall-mbg,ConfigType.NAME,mall-mbg/pom.xml,maven,project.dependencies.dependency_mall-mbg.artifactId,mall-mbg,ConfigType.NAME,mall-portal/pom.xml,maven
value-equality,mall-swarm::::mall-monitor/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::groupId::::org.springframework.boot <-> mall-swarm::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-redis::::groupId::::org.springframework.boot,mall-swarm,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,ConfigType.NAME,mall-monitor/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,ConfigType.NAME,mall-portal/pom.xml,maven
value-equality,mall-swarm::::mall-monitor/pom.xml::::project::::build::::plugins::::plugin_docker-maven-plugin::::groupId::::io.fabric8 <-> mall-swarm::::mall-search/pom.xml::::project::::build::::plugins::::plugin_docker-maven-plugin::::groupId::::io.fabric8,mall-swarm,project.build.plugins.plugin_docker-maven-plugin.groupId,io.fabric8,ConfigType.NAME,mall-monitor/pom.xml,maven,project.build.plugins.plugin_docker-maven-plugin.groupId,io.fabric8,ConfigType.NAME,mall-search/pom.xml,maven
value-equality,mall-swarm::::mall-gateway/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> mall-swarm::::mall-monitor/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,mall-swarm,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-gateway/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-monitor/pom.xml,maven
value-equality,mall-swarm::::mall-search/pom.xml::::project::::version::::version:1.0-SNAPSHOT <-> mall-swarm::::pom.xml::::project::::version::::version:1.0-SNAPSHOT,mall-swarm,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-search/pom.xml,maven,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,pom.xml,maven
value-equality,mall-swarm::::mall-portal/pom.xml::::project::::groupId::::com.macro.mall <-> mall-swarm::::mall-search/pom.xml::::project::::groupId::::com.macro.mall,mall-swarm,project.groupId,com.macro.mall,ConfigType.NAME,mall-portal/pom.xml,maven,project.groupId,com.macro.mall,ConfigType.NAME,mall-search/pom.xml,maven
value-equality,mall-swarm::::mall-admin/src/main/resources/application.yml::::spring.redis.password::::None <-> mall-swarm::::mall-portal/src/main/resources/application.yml::::spring.redis.password::::None,mall-swarm,spring.redis.password,None,ConfigType.PASSWORD,mall-admin/src/main/resources/application.yml,spring,spring.redis.password,None,ConfigType.PASSWORD,mall-portal/src/main/resources/application.yml,spring
value-equality,mall-swarm::::mall-auth/src/main/resources/application.yml::::spring.mvc.pathmatch.matching-strategy::::ant_path_matcher <-> mall-swarm::::mall-portal/src/main/resources/application.yml::::spring.mvc.pathmatch.matching-strategy::::ant_path_matcher,mall-swarm,spring.mvc.pathmatch.matching-strategy,ant_path_matcher,ConfigType.PATH,mall-auth/src/main/resources/application.yml,spring,spring.mvc.pathmatch.matching-strategy,ant_path_matcher,ConfigType.PATH,mall-portal/src/main/resources/application.yml,spring
value-equality,mall-swarm::::mall-auth/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> mall-swarm::::mall-gateway/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,mall-swarm,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-auth/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-gateway/pom.xml,maven
value-equality,mall-swarm::::mall-admin/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::groupId::::org.springframework.boot <-> mall-swarm::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-redis::::groupId::::org.springframework.boot,mall-swarm,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,ConfigType.NAME,mall-admin/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,ConfigType.NAME,mall-portal/pom.xml,maven
value-equality,mall-swarm::::mall-portal/pom.xml::::project::::dependencies::::dependency_mall-mbg::::groupId::::com.macro.mall <-> mall-swarm::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_mall-mbg::::groupId::::com.macro.mall,mall-swarm,project.dependencies.dependency_mall-mbg.groupId,com.macro.mall,ConfigType.NAME,mall-portal/pom.xml,maven,project.dependencyManagement.dependencies.dependency_mall-mbg.groupId,com.macro.mall,ConfigType.NAME,pom.xml,maven
value-equality,mall-swarm::::mall-admin/pom.xml::::project::::parent_mall-swarm::::version::::version:1.0-SNAPSHOT <-> mall-swarm::::mall-gateway/pom.xml::::project::::parent_mall-swarm::::version::::version:1.0-SNAPSHOT,mall-swarm,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-admin/pom.xml,maven,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-gateway/pom.xml,maven
value-equality,mall-swarm::::mall-gateway/pom.xml::::project::::parent_mall-swarm::::groupId::::com.macro.mall <-> mall-swarm::::mall-monitor/pom.xml::::project::::groupId::::com.macro.mall,mall-swarm,project.parent_mall-swarm.groupId,com.macro.mall,ConfigType.NAME,mall-gateway/pom.xml,maven,project.groupId,com.macro.mall,ConfigType.NAME,mall-monitor/pom.xml,maven
value-equality,mall-swarm::::mall-mbg/pom.xml::::project::::artifactId::::mall-mbg <-> mall-swarm::::mall-portal/pom.xml::::project::::dependencies::::dependency_mall-mbg::::artifactId::::mall-mbg,mall-swarm,project.artifactId,mall-mbg,ConfigType.NAME,mall-mbg/pom.xml,maven,project.dependencies.dependency_mall-mbg.artifactId,mall-mbg,ConfigType.NAME,mall-portal/pom.xml,maven
value-equality,mall-swarm::::mall-portal/pom.xml::::project::::dependencies::::dependency_mall-mbg::::groupId::::com.macro.mall <-> mall-swarm::::mall-search/pom.xml::::project::::groupId::::com.macro.mall,mall-swarm,project.dependencies.dependency_mall-mbg.groupId,com.macro.mall,ConfigType.NAME,mall-portal/pom.xml,maven,project.groupId,com.macro.mall,ConfigType.NAME,mall-search/pom.xml,maven
value-equality,mall-swarm::::mall-gateway/pom.xml::::project::::dependencies::::dependency_mall-common::::exclusions::::exclusion_spring-boot-starter-web::::groupId::::org.springframework.boot <-> mall-swarm::::mall-gateway/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-redis::::groupId::::org.springframework.boot,mall-swarm,project.dependencies.dependency_mall-common.exclusions.exclusion_spring-boot-starter-web.groupId,org.springframework.boot,ConfigType.NAME,mall-gateway/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,ConfigType.NAME,mall-gateway/pom.xml,maven
value-equality,mall-swarm::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_mall-mbg::::artifactId::::mall-mbg <-> mall-swarm::::pom.xml::::project::::modules::::module::::mall-mbg,mall-swarm,project.dependencyManagement.dependencies.dependency_mall-mbg.artifactId,mall-mbg,ConfigType.NAME,pom.xml,maven,project.modules.module,mall-mbg,ConfigType.NAME,pom.xml,maven
value-equality,mall-swarm::::mall-admin/pom.xml::::project::::build::::plugins::::plugin_docker-maven-plugin::::groupId::::io.fabric8 <-> mall-swarm::::mall-auth/pom.xml::::project::::build::::plugins::::plugin_docker-maven-plugin::::groupId::::io.fabric8,mall-swarm,project.build.plugins.plugin_docker-maven-plugin.groupId,io.fabric8,ConfigType.NAME,mall-admin/pom.xml,maven,project.build.plugins.plugin_docker-maven-plugin.groupId,io.fabric8,ConfigType.NAME,mall-auth/pom.xml,maven
value-equality,mall-swarm::::mall-auth/pom.xml::::project::::dependencies::::dependency_mall-common::::artifactId::::mall-common <-> mall-swarm::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_mall-common::::artifactId::::mall-common,mall-swarm,project.dependencies.dependency_mall-common.artifactId,mall-common,ConfigType.NAME,mall-auth/pom.xml,maven,project.dependencyManagement.dependencies.dependency_mall-common.artifactId,mall-common,ConfigType.NAME,pom.xml,maven
value-equality,mall-swarm::::mall-auth/pom.xml::::project::::dependencies::::dependency_nimbus-jose-jwt::::groupId::::com.nimbusds <-> mall-swarm::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_nimbus-jose-jwt::::groupId::::com.nimbusds,mall-swarm,project.dependencies.dependency_nimbus-jose-jwt.groupId,com.nimbusds,ConfigType.NAME,mall-auth/pom.xml,maven,project.dependencyManagement.dependencies.dependency_nimbus-jose-jwt.groupId,com.nimbusds,ConfigType.NAME,pom.xml,maven
value-equality,mall-swarm::::mall-gateway/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::groupId::::org.springframework.boot <-> mall-swarm::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-mongodb::::groupId::::org.springframework.boot,mall-swarm,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,ConfigType.NAME,mall-gateway/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-data-mongodb.groupId,org.springframework.boot,ConfigType.NAME,mall-portal/pom.xml,maven
value-equality,mall-swarm::::mall-demo/pom.xml::::project::::version::::version:1.0-SNAPSHOT <-> mall-swarm::::mall-monitor/pom.xml::::project::::parent_mall-swarm::::version::::version:1.0-SNAPSHOT,mall-swarm,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-demo/pom.xml,maven,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-monitor/pom.xml,maven
value-equality,mall-swarm::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_spring-cloud-alibaba-dependencies::::type::::pom <-> mall-swarm::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_spring-cloud-dependencies::::type::::pom,mall-swarm,project.dependencyManagement.dependencies.dependency_spring-cloud-alibaba-dependencies.type,pom,ConfigType.TYPE,pom.xml,maven,project.dependencyManagement.dependencies.dependency_spring-cloud-dependencies.type,pom,ConfigType.TYPE,pom.xml,maven
value-equality,mall-swarm::::document/docker/docker-compose-app.yml::::services::::mall-admin::::ports::::in::::8080 <-> mall-swarm::::mall-admin/src/main/resources/application.yml::::server.port::::8080,mall-swarm,services.mall-admin.ports.in,8080,ConfigType.PORT,document/docker/docker-compose-app.yml,docker-compose,server.port,8080,ConfigType.PORT,mall-admin/src/main/resources/application.yml,spring
value-equality,mall-swarm::::mall-portal/pom.xml::::project::::artifactId::::mall-portal <-> mall-swarm::::pom.xml::::project::::modules::::module::::mall-portal,mall-swarm,project.artifactId,mall-portal,ConfigType.NAME,mall-portal/pom.xml,maven,project.modules.module,mall-portal,ConfigType.NAME,pom.xml,maven
value-equality,mall-swarm::::mall-admin/pom.xml::::project::::version::::version:1.0-SNAPSHOT <-> mall-swarm::::mall-demo/pom.xml::::project::::parent_mall-swarm::::version::::version:1.0-SNAPSHOT,mall-swarm,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-admin/pom.xml,maven,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-demo/pom.xml,maven
value-equality,mall-swarm::::document/docker/docker-compose-env.yml::::services::::redis::::ports::::in::::6379 <-> mall-swarm::::document/docker/docker-compose-env.yml::::services::::redis::::ports::::out::::6379,mall-swarm,services.redis.ports.in,6379,ConfigType.PORT,document/docker/docker-compose-env.yml,docker-compose,services.redis.ports.out,6379,ConfigType.PORT,document/docker/docker-compose-env.yml,docker-compose
value-equality,mall-swarm::::document/docker/docker-compose-env.yml::::services::::mysql::::environment::::MYSQL_ROOT_PASSWORD::::root <-> mall-swarm::::mall-admin/src/main/resources/application.yml::::spring.datasource.username::::root,mall-swarm,services.mysql.environment.MYSQL_ROOT_PASSWORD,root,ConfigType.PASSWORD,document/docker/docker-compose-env.yml,docker-compose,spring.datasource.username,root,ConfigType.USERNAME,mall-admin/src/main/resources/application.yml,spring
value-equality,mall-swarm::::mall-auth/pom.xml::::project::::groupId::::com.macro.mall <-> mall-swarm::::mall-gateway/pom.xml::::project::::dependencies::::dependency_mall-common::::groupId::::com.macro.mall,mall-swarm,project.groupId,com.macro.mall,ConfigType.NAME,mall-auth/pom.xml,maven,project.dependencies.dependency_mall-common.groupId,com.macro.mall,ConfigType.NAME,mall-gateway/pom.xml,maven
value-equality,mall-swarm::::mall-auth/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-security::::groupId::::org.springframework.boot <-> mall-swarm::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-amqp::::groupId::::org.springframework.boot,mall-swarm,project.dependencies.dependency_spring-boot-starter-security.groupId,org.springframework.boot,ConfigType.NAME,mall-auth/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-amqp.groupId,org.springframework.boot,ConfigType.NAME,mall-portal/pom.xml,maven
value-equality,mall-swarm::::mall-admin/src/main/resources/application.yml::::minio.bucketName::::mall <-> mall-swarm::::mall-portal/src/main/resources/application.yml::::redis.database::::mall,mall-swarm,minio.bucketName,mall,ConfigType.UNKNOWN,mall-admin/src/main/resources/application.yml,spring,redis.database,mall,ConfigType.NAME,mall-portal/src/main/resources/application.yml,spring
value-equality,mall-swarm::::mall-admin/pom.xml::::project::::dependencies::::dependency_feign-okhttp::::artifactId::::feign-okhttp <-> mall-swarm::::mall-auth/pom.xml::::project::::dependencies::::dependency_feign-okhttp::::artifactId::::feign-okhttp,mall-swarm,project.dependencies.dependency_feign-okhttp.artifactId,feign-okhttp,ConfigType.NAME,mall-admin/pom.xml,maven,project.dependencies.dependency_feign-okhttp.artifactId,feign-okhttp,ConfigType.NAME,mall-auth/pom.xml,maven
