dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology
value-equality,mall-swarm::::mall-common/pom.xml::::project::::groupId::::com.macro.mall <-> mall-swarm::::mall-portal/pom.xml::::project::::parent_mall-swarm::::groupId::::com.macro.mall,mall-swarm,project.groupId,com.macro.mall,ConfigType.NAME,mall-common/pom.xml,maven,project.parent_mall-swarm.groupId,com.macro.mall,ConfigType.NAME,mall-portal/pom.xml,maven
value-equality,mall-swarm::::mall-common/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> mall-swarm::::mall-portal/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,mall-swarm,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-common/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-portal/pom.xml,maven
value-equality,mall-swarm::::mall-demo/pom.xml::::project::::parent_mall-swarm::::groupId::::com.macro.mall <-> mall-swarm::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_mall-mbg::::groupId::::com.macro.mall,mall-swarm,project.parent_mall-swarm.groupId,com.macro.mall,ConfigType.NAME,mall-demo/pom.xml,maven,project.dependencyManagement.dependencies.dependency_mall-mbg.groupId,com.macro.mall,ConfigType.NAME,pom.xml,maven
value-equality,mall-swarm::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-mongodb::::groupId::::org.springframework.boot <-> mall-swarm::::mall-search/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-elasticsearch::::groupId::::org.springframework.boot,mall-swarm,project.dependencies.dependency_spring-boot-starter-data-mongodb.groupId,org.springframework.boot,ConfigType.NAME,mall-portal/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-data-elasticsearch.groupId,org.springframework.boot,ConfigType.NAME,mall-search/pom.xml,maven
value-equality,mall-swarm::::mall-gateway/pom.xml::::project::::parent_mall-swarm::::version::::version:1.0-SNAPSHOT <-> mall-swarm::::mall-mbg/pom.xml::::project::::version::::version:1.0-SNAPSHOT,mall-swarm,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-gateway/pom.xml,maven,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-mbg/pom.xml,maven
value-equality,mall-swarm::::mall-admin/src/main/resources/application.yml::::spring.datasource.password::::root <-> mall-swarm::::mall-search/src/main/resources/application.yml::::spring.datasource.password::::root,mall-swarm,spring.datasource.password,root,ConfigType.PASSWORD,mall-admin/src/main/resources/application.yml,spring,spring.datasource.password,root,ConfigType.PASSWORD,mall-search/src/main/resources/application.yml,spring
value-equality,mall-swarm::::mall-admin/src/main/resources/application.yml::::minio.bucketName::::mall <-> mall-swarm::::mall-portal/src/main/resources/application.yml::::spring.rabbitmq.password::::mall,mall-swarm,minio.bucketName,mall,ConfigType.UNKNOWN,mall-admin/src/main/resources/application.yml,spring,spring.rabbitmq.password,mall,ConfigType.PASSWORD,mall-portal/src/main/resources/application.yml,spring
value-equality,mall-swarm::::mall-gateway/pom.xml::::project::::dependencies::::dependency_mall-common::::groupId::::com.macro.mall <-> mall-swarm::::mall-search/pom.xml::::project::::groupId::::com.macro.mall,mall-swarm,project.dependencies.dependency_mall-common.groupId,com.macro.mall,ConfigType.NAME,mall-gateway/pom.xml,maven,project.groupId,com.macro.mall,ConfigType.NAME,mall-search/pom.xml,maven
value-equality,mall-swarm::::mall-mbg/pom.xml::::project::::parent_mall-swarm::::groupId::::com.macro.mall <-> mall-swarm::::mall-portal/pom.xml::::project::::groupId::::com.macro.mall,mall-swarm,project.parent_mall-swarm.groupId,com.macro.mall,ConfigType.NAME,mall-mbg/pom.xml,maven,project.groupId,com.macro.mall,ConfigType.NAME,mall-portal/pom.xml,maven
value-equality,mall-swarm::::mall-admin/src/main/resources/application.yml::::spring.redis.port::::6379 <-> mall-swarm::::mall-portal/src/main/resources/application.yml::::spring.redis.port::::6379,mall-swarm,spring.redis.port,6379,ConfigType.PORT,mall-admin/src/main/resources/application.yml,spring,spring.redis.port,6379,ConfigType.PORT,mall-portal/src/main/resources/application.yml,spring
