dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology
value-equality,pig::::pig-boot/pom.xml::::project::::packaging::::jar <-> pig::::pig-register/pom.xml::::project::::packaging::::jar,pig,project.packaging,jar,ConfigType.TYPE,pig-boot/pom.xml,maven,project.packaging,jar,ConfigType.TYPE,pig-register/pom.xml,maven
value-equality,pig::::pig-common/pig-common-log/pom.xml::::project::::parent_pig-common::::groupId::::com.pig4cloud <-> pig::::pig-upms/pom.xml::::project::::parent_pig::::groupId::::com.pig4cloud,pig,project.parent_pig-common.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-log/pom.xml,maven,project.parent_pig.groupId,com.pig4cloud,ConfigType.NAME,pig-upms/pom.xml,maven
value-equality,pig::::pig-auth/pom.xml::::project::::parent_pig::::version::::version:${revision} <-> pig::::pig-common/pig-common-seata/pom.xml::::project::::parent_pig-common::::version::::version:${revision},pig,project.parent_pig.version,version:${revision},ConfigType.VERSION_NUMBER,pig-auth/pom.xml,maven,project.parent_pig-common.version,version:${revision},ConfigType.VERSION_NUMBER,pig-common/pig-common-seata/pom.xml,maven
value-equality,pig::::docker-compose.yml::::services::::pig-monitor::::networks::::spring_cloud_default <-> pig::::docker-compose.yml::::services::::pig-mysql::::networks::::spring_cloud_default,pig,services.pig-monitor.networks,spring_cloud_default,ConfigType.UNKNOWN,docker-compose.yml,docker-compose,services.pig-mysql.networks,spring_cloud_default,ConfigType.UNKNOWN,docker-compose.yml,docker-compose
value-equality,pig::::pig-register/Dockerfile::::ENV::::TZ::::Asia <-> pig::::pig-visual/pig-codegen/Dockerfile::::ENV::::TZ::::Asia,pig,ENV.TZ,Asia,ConfigType.ENVIRONMENT,pig-register/Dockerfile,docker,ENV.TZ,Asia,ConfigType.ENVIRONMENT,pig-visual/pig-codegen/Dockerfile,docker
value-equality,pig::::pig-common/pig-common-bom/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_mybatis-plus-spring-boot3-starter::::groupId::::com.baomidou <-> pig::::pig-common/pig-common-mybatis/pom.xml::::project::::dependencies::::dependency_mybatis-plus-extension::::groupId::::com.baomidou,pig,project.dependencyManagement.dependencies.dependency_mybatis-plus-spring-boot3-starter.groupId,com.baomidou,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven,project.dependencies.dependency_mybatis-plus-extension.groupId,com.baomidou,ConfigType.NAME,pig-common/pig-common-mybatis/pom.xml,maven
value-equality,pig::::docker-compose.yml::::services::::pig-auth::::networks::::spring_cloud_default <-> pig::::docker-compose.yml::::services::::pig-mysql::::networks::::spring_cloud_default,pig,services.pig-auth.networks,spring_cloud_default,ConfigType.UNKNOWN,docker-compose.yml,docker-compose,services.pig-mysql.networks,spring_cloud_default,ConfigType.UNKNOWN,docker-compose.yml,docker-compose
value-equality,pig::::pig-common/pig-common-feign/pom.xml::::project::::dependencies::::dependency_caffeine::::artifactId::::caffeine <-> pig::::pig-gateway/pom.xml::::project::::dependencies::::dependency_caffeine::::artifactId::::caffeine,pig,project.dependencies.dependency_caffeine.artifactId,caffeine,ConfigType.NAME,pig-common/pig-common-feign/pom.xml,maven,project.dependencies.dependency_caffeine.artifactId,caffeine,ConfigType.NAME,pig-gateway/pom.xml,maven
value-equality,pig::::pig-common/pig-common-feign/pom.xml::::project::::parent_pig-common::::groupId::::com.pig4cloud <-> pig::::pig-common/pig-common-swagger/pom.xml::::project::::parent_pig-common::::groupId::::com.pig4cloud,pig,project.parent_pig-common.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-feign/pom.xml,maven,project.parent_pig-common.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-swagger/pom.xml,maven
value-equality,pig::::pig-common/pom.xml::::project::::parent_pig::::version::::version:${revision} <-> pig::::pig-upms/pig-upms-api/pom.xml::::project::::parent_pig-upms::::version::::version:${revision},pig,project.parent_pig.version,version:${revision},ConfigType.VERSION_NUMBER,pig-common/pom.xml,maven,project.parent_pig-upms.version,version:${revision},ConfigType.VERSION_NUMBER,pig-upms/pig-upms-api/pom.xml,maven
value-equality,pig::::pom.xml::::project::::properties::::maven.compiler.source::::17 <-> pig::::pom.xml::::project::::properties::::maven.compiler.target::::17,pig,project.properties.maven.compiler.source,17,ConfigType.VERSION_NUMBER,pom.xml,maven,project.properties.maven.compiler.target,17,ConfigType.VERSION_NUMBER,pom.xml,maven
value-equality,pig::::pig-auth/pom.xml::::project::::dependencies::::dependency_pig-upms-api::::groupId::::com.pig4cloud <-> pig::::pig-common/pig-common-bom/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_pig-common-swagger::::groupId::::com.pig4cloud,pig,project.dependencies.dependency_pig-upms-api.groupId,com.pig4cloud,ConfigType.NAME,pig-auth/pom.xml,maven,project.dependencyManagement.dependencies.dependency_pig-common-swagger.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven
value-equality,pig::::pig-common/pig-common-core/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> pig::::pig-common/pig-common-feign/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,pig,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,pig-common/pig-common-core/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,pig-common/pig-common-feign/pom.xml,maven
value-equality,"pig::::pig-gateway/Dockerfile::::CMD::::param3::::"" <-> pig::::pig-register/Dockerfile::::ENV::::JAVA_OPTS::::""",pig,CMD.param3,"""",ConfigType.UNKNOWN,pig-gateway/Dockerfile,docker,ENV.JAVA_OPTS,"""",ConfigType.ENVIRONMENT,pig-register/Dockerfile,docker
value-equality,pig::::pig-common/pig-common-swagger/pom.xml::::project::::artifactId::::pig-common-swagger <-> pig::::pig-visual/pig-quartz/pom.xml::::project::::dependencies::::dependency_pig-common-swagger::::artifactId::::pig-common-swagger,pig,project.artifactId,pig-common-swagger,ConfigType.NAME,pig-common/pig-common-swagger/pom.xml,maven,project.dependencies.dependency_pig-common-swagger.artifactId,pig-common-swagger,ConfigType.NAME,pig-visual/pig-quartz/pom.xml,maven
value-equality,pig::::pig-common/pig-common-bom/pom.xml::::project::::groupId::::com.pig4cloud <-> pig::::pom.xml::::project::::groupId::::com.pig4cloud,pig,project.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven,project.groupId,com.pig4cloud,ConfigType.NAME,pom.xml,maven
value-equality,pig::::pig-visual/pig-codegen/pom.xml::::project::::parent_pig-visual::::artifactId::::pig-visual <-> pig::::pig-visual/pig-monitor/pom.xml::::project::::parent_pig-visual::::artifactId::::pig-visual,pig,project.parent_pig-visual.artifactId,pig-visual,ConfigType.NAME,pig-visual/pig-codegen/pom.xml,maven,project.parent_pig-visual.artifactId,pig-visual,ConfigType.NAME,pig-visual/pig-monitor/pom.xml,maven
value-equality,pig::::pig-boot/src/main/resources/application-dev.yml::::jasypt.encryptor.password::::pig <-> pig::::pig-register/pom.xml::::project::::parent_pig::::artifactId::::pig,pig,jasypt.encryptor.password,pig,ConfigType.PASSWORD,pig-boot/src/main/resources/application-dev.yml,spring,project.parent_pig.artifactId,pig,ConfigType.NAME,pig-register/pom.xml,maven
value-equality,pig::::pig-auth/Dockerfile::::ENV::::TZ::::Asia <-> pig::::pig-visual/pig-quartz/Dockerfile::::ENV::::TZ::::Asia,pig,ENV.TZ,Asia,ConfigType.ENVIRONMENT,pig-auth/Dockerfile,docker,ENV.TZ,Asia,ConfigType.ENVIRONMENT,pig-visual/pig-quartz/Dockerfile,docker
value-equality,pig::::pig-common/pig-common-bom/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_pig-common-datasource::::groupId::::com.pig4cloud <-> pig::::pig-common/pig-common-log/pom.xml::::project::::dependencies::::dependency_pig-common-core::::groupId::::com.pig4cloud,pig,project.dependencyManagement.dependencies.dependency_pig-common-datasource.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-log/pom.xml,maven
value-equality,pig::::pig-common/pig-common-bom/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_mybatis-plus-spring-boot3-starter::::groupId::::com.baomidou <-> pig::::pig-common/pig-common-datasource/pom.xml::::project::::dependencies::::dependency_dynamic-datasource-spring-boot3-starter::::groupId::::com.baomidou,pig,project.dependencyManagement.dependencies.dependency_mybatis-plus-spring-boot3-starter.groupId,com.baomidou,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven,project.dependencies.dependency_dynamic-datasource-spring-boot3-starter.groupId,com.baomidou,ConfigType.NAME,pig-common/pig-common-datasource/pom.xml,maven
value-equality,pig::::pig-common/pig-common-feign/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> pig::::pig-common/pig-common-security/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,pig,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,pig-common/pig-common-feign/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,pig-common/pig-common-security/pom.xml,maven
value-equality,pig::::pig-common/pig-common-bom/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_pig-common-security::::groupId::::com.pig4cloud <-> pig::::pig-visual/pig-quartz/pom.xml::::project::::dependencies::::dependency_pig-common-security::::groupId::::com.pig4cloud,pig,project.dependencyManagement.dependencies.dependency_pig-common-security.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven,project.dependencies.dependency_pig-common-security.groupId,com.pig4cloud,ConfigType.NAME,pig-visual/pig-quartz/pom.xml,maven
value-equality,pig::::pig-common/pig-common-xss/pom.xml::::project::::dependencies::::dependency_pig-common-core::::groupId::::com.pig4cloud <-> pig::::pig-visual/pig-codegen/pom.xml::::project::::dependencies::::dependency_pig-common-log::::groupId::::com.pig4cloud,pig,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-xss/pom.xml,maven,project.dependencies.dependency_pig-common-log.groupId,com.pig4cloud,ConfigType.NAME,pig-visual/pig-codegen/pom.xml,maven
value-equality,pig::::pig-upms/pig-upms-biz/Dockerfile::::CMD::::param2::::java <-> pig::::pig-visual/pig-codegen/Dockerfile::::CMD::::param2::::java,pig,CMD.param2,java,ConfigType.UNKNOWN,pig-upms/pig-upms-biz/Dockerfile,docker,CMD.param2,java,ConfigType.UNKNOWN,pig-visual/pig-codegen/Dockerfile,docker
value-equality,pig::::pig-common/pig-common-feign/pom.xml::::project::::packaging::::jar <-> pig::::pig-common/pig-common-mybatis/pom.xml::::project::::packaging::::jar,pig,project.packaging,jar,ConfigType.TYPE,pig-common/pig-common-feign/pom.xml,maven,project.packaging,jar,ConfigType.TYPE,pig-common/pig-common-mybatis/pom.xml,maven
value-equality,pig::::pig-boot/Dockerfile::::FROM::::registry.cn-hangzhou.aliyuncs.com/dockerhub_mirror/java:21-anolis <-> pig::::pig-visual/pig-monitor/Dockerfile::::FROM::::registry.cn-hangzhou.aliyuncs.com/dockerhub_mirror/java:21-anolis,pig,FROM,registry.cn-hangzhou.aliyuncs.com/dockerhub_mirror/java:21-anolis,ConfigType.UNKNOWN,pig-boot/Dockerfile,docker,FROM,registry.cn-hangzhou.aliyuncs.com/dockerhub_mirror/java:21-anolis,ConfigType.UNKNOWN,pig-visual/pig-monitor/Dockerfile,docker
value-equality,pig::::pig-boot/pom.xml::::project::::dependencies::::dependency_pig-common-swagger::::groupId::::com.pig4cloud <-> pig::::pig-common/pig-common-oss/pom.xml::::project::::parent_pig-common::::groupId::::com.pig4cloud,pig,project.dependencies.dependency_pig-common-swagger.groupId,com.pig4cloud,ConfigType.NAME,pig-boot/pom.xml,maven,project.parent_pig-common.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-oss/pom.xml,maven
value-equality,pig::::pig-gateway/pom.xml::::project::::dependencies::::dependency_pig-common-core::::groupId::::com.pig4cloud <-> pig::::pig-visual/pig-codegen/pom.xml::::project::::dependencies::::dependency_pig-common-datasource::::groupId::::com.pig4cloud,pig,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,ConfigType.NAME,pig-gateway/pom.xml,maven,project.dependencies.dependency_pig-common-datasource.groupId,com.pig4cloud,ConfigType.NAME,pig-visual/pig-codegen/pom.xml,maven
value-equality,pig::::pig-common/pig-common-xss/pom.xml::::project::::parent_pig-common::::groupId::::com.pig4cloud <-> pig::::pom.xml::::project::::groupId::::com.pig4cloud,pig,project.parent_pig-common.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-xss/pom.xml,maven,project.groupId,com.pig4cloud,ConfigType.NAME,pom.xml,maven
value-equality,pig::::pig-common/pig-common-feign/pom.xml::::project::::dependencies::::dependency_pig-common-core::::groupId::::com.pig4cloud <-> pig::::pig-visual/pig-codegen/pom.xml::::project::::dependencies::::dependency_pig-common-log::::groupId::::com.pig4cloud,pig,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-feign/pom.xml,maven,project.dependencies.dependency_pig-common-log.groupId,com.pig4cloud,ConfigType.NAME,pig-visual/pig-codegen/pom.xml,maven
value-equality,pig::::pig-common/pig-common-bom/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_pig-common-security::::groupId::::com.pig4cloud <-> pig::::pig-gateway/pom.xml::::project::::dependencies::::dependency_pig-common-core::::groupId::::com.pig4cloud,pig,project.dependencyManagement.dependencies.dependency_pig-common-security.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,ConfigType.NAME,pig-gateway/pom.xml,maven
