dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology
value-equality,pig::::pig-boot/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-undertow::::groupId::::org.springframework.boot <-> pig::::pig-common/pig-common-bom/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_spring-boot-starter-web::::exclusions::::exclusion_spring-boot-starter-tomcat::::groupId::::org.springframework.boot,pig,project.dependencies.dependency_spring-boot-starter-undertow.groupId,org.springframework.boot,ConfigType.NAME,pig-boot/pom.xml,maven,project.dependencyManagement.dependencies.dependency_spring-boot-starter-web.exclusions.exclusion_spring-boot-starter-tomcat.groupId,org.springframework.boot,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven
value-equality,pig::::pig-common/pig-common-bom/pom.xml::::project::::packaging::::pom <-> pig::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_spring-cloud-alibaba-dependencies::::type::::pom,pig,project.packaging,pom,ConfigType.TYPE,pig-common/pig-common-bom/pom.xml,maven,project.dependencyManagement.dependencies.dependency_spring-cloud-alibaba-dependencies.type,pom,ConfigType.TYPE,pom.xml,maven
value-equality,pig::::pig-boot/pom.xml::::project::::parent_pig::::artifactId::::pig <-> pig::::pom.xml::::project::::artifactId::::pig,pig,project.parent_pig.artifactId,pig,ConfigType.NAME,pig-boot/pom.xml,maven,project.artifactId,pig,ConfigType.NAME,pom.xml,maven
value-equality,pig::::pig-common/pig-common-core/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> pig::::pig-register/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,pig,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,pig-common/pig-common-core/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,pig-register/pom.xml,maven
value-equality,pig::::pig-common/pig-common-bom/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_pig-common-mybatis::::groupId::::com.pig4cloud <-> pig::::pig-upms/pig-upms-biz/pom.xml::::project::::dependencies::::dependency_pig-common-xss::::groupId::::com.pig4cloud,pig,project.dependencyManagement.dependencies.dependency_pig-common-mybatis.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-bom/pom.xml,maven,project.dependencies.dependency_pig-common-xss.groupId,com.pig4cloud,ConfigType.NAME,pig-upms/pig-upms-biz/pom.xml,maven
value-equality,pig::::pig-visual/pig-quartz/pom.xml::::project::::profiles::::profile_cloud::::activation::::activeByDefault::::true <-> pig::::pom.xml::::project::::build::::plugins::::plugin_flatten-maven-plugin::::configuration::::updatePomFile::::true,pig,project.profiles.profile_cloud.activation.activeByDefault,TRUE,ConfigType.BOOLEAN,pig-visual/pig-quartz/pom.xml,maven,project.build.plugins.plugin_flatten-maven-plugin.configuration.updatePomFile,TRUE,ConfigType.BOOLEAN,pom.xml,maven
value-equality,pig::::pig-upms/pom.xml::::project::::parent_pig::::groupId::::com.pig4cloud <-> pig::::pig-visual/pig-codegen/pom.xml::::project::::dependencies::::dependency_pig-common-core::::groupId::::com.pig4cloud,pig,project.parent_pig.groupId,com.pig4cloud,ConfigType.NAME,pig-upms/pom.xml,maven,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,ConfigType.NAME,pig-visual/pig-codegen/pom.xml,maven
value-equality,pig::::pig-gateway/Dockerfile::::CMD::::param2::::java <-> pig::::pig-upms/pig-upms-biz/Dockerfile::::CMD::::param2::::java,pig,CMD.param2,java,ConfigType.UNKNOWN,pig-gateway/Dockerfile,docker,CMD.param2,java,ConfigType.UNKNOWN,pig-upms/pig-upms-biz/Dockerfile,docker
value-equality,pig::::pig-common/pig-common-feign/pom.xml::::project::::parent_pig-common::::version::::version:${revision} <-> pig::::pig-upms/pig-upms-api/pom.xml::::project::::parent_pig-upms::::version::::version:${revision},pig,project.parent_pig-common.version,version:${revision},ConfigType.VERSION_NUMBER,pig-common/pig-common-feign/pom.xml,maven,project.parent_pig-upms.version,version:${revision},ConfigType.VERSION_NUMBER,pig-upms/pig-upms-api/pom.xml,maven
value-equality,pig::::pig-common/pig-common-bom/pom.xml::::project::::properties::::maven.compiler.source::::17 <-> pig::::pom.xml::::project::::properties::::maven.compiler.source::::17,pig,project.properties.maven.compiler.source,17,ConfigType.VERSION_NUMBER,pig-common/pig-common-bom/pom.xml,maven,project.properties.maven.compiler.source,17,ConfigType.VERSION_NUMBER,pom.xml,maven
value-equality,pig::::docker-compose.yml::::services::::pig-codegen::::restart::::always <-> pig::::docker-compose.yml::::services::::pig-quartz::::restart::::always,pig,services.pig-codegen.restart,always,ConfigType.MODE,docker-compose.yml,docker-compose,services.pig-quartz.restart,always,ConfigType.MODE,docker-compose.yml,docker-compose
value-equality,pig::::pig-common/pig-common-datasource/pom.xml::::project::::parent_pig-common::::groupId::::com.pig4cloud <-> pig::::pig-visual/pig-quartz/pom.xml::::project::::parent_pig-visual::::groupId::::com.pig4cloud,pig,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-xss/pom.xml,maven,project.dependencies.dependency_pig-common-log.groupId,com.pig4cloud,ConfigType.NAME,pig-upms/pig-upms-biz/pom.xml,maven
value-equality,"pig::::pig-gateway/Dockerfile::::ENV::::JAVA_OPTS::::"" <-> pig::::pig-visual/pig-monitor/Dockerfile::::ENV::::JAVA_OPTS::::""",pig,ENV.JAVA_OPTS,"""",ConfigType.ENVIRONMENT,pig-gateway/Dockerfile,docker,ENV.JAVA_OPTS,"""",ConfigType.ENVIRONMENT,pig-visual/pig-monitor/Dockerfile,docker
value-equality,pig::::pig-boot/Dockerfile::::CMD::::param5::::app.jar <-> pig::::pig-upms/pig-upms-biz/Dockerfile::::CMD::::param5::::app.jar,pig,CMD.param5,app.jar,ConfigType.PATH,pig-boot/Dockerfile,docker,CMD.param5,app.jar,ConfigType.PATH,pig-upms/pig-upms-biz/Dockerfile,docker
value-equality,pig::::pig-auth/pom.xml::::project::::parent_pig::::version::::version:${revision} <-> pig::::pig-upms/pom.xml::::project::::parent_pig::::version::::version:${revision},pig,project.parent_pig.version,version:${revision},ConfigType.VERSION_NUMBER,pig-auth/pom.xml,maven,project.parent_pig.version,version:${revision},ConfigType.VERSION_NUMBER,pig-upms/pom.xml,maven
value-equality,pig::::docker-compose.yml::::services::::pig-upms::::hostname::::pig-upms <-> pig::::pig-upms/pig-upms-api/pom.xml::::project::::parent_pig-upms::::artifactId::::pig-upms,pig,services.pig-upms.hostname,pig-upms,ConfigType.NAME,docker-compose.yml,docker-compose,project.parent_pig-upms.artifactId,pig-upms,ConfigType.NAME,pig-upms/pig-upms-api/pom.xml,maven
value-equality,pig::::pig-boot/pom.xml::::project::::packaging::::jar <-> pig::::pig-common/pig-common-seata/pom.xml::::project::::packaging::::jar,pig,project.packaging,jar,ConfigType.TYPE,pig-boot/pom.xml,maven,project.packaging,jar,ConfigType.TYPE,pig-common/pig-common-seata/pom.xml,maven
value-equality,pig::::pig-common/pig-common-swagger/pom.xml::::project::::dependencies::::dependency_pig-common-core::::groupId::::com.pig4cloud <-> pig::::pom.xml::::project::::groupId::::com.pig4cloud,pig,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,ConfigType.NAME,pig-common/pig-common-swagger/pom.xml,maven,project.groupId,com.pig4cloud,ConfigType.NAME,pom.xml,maven
